2016-05-01T21:13:00.610+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49847 #45 (2 connections now open)
2016-05-01T21:13:00.618+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:49848 #46 (3 connections now open)
2016-05-01T21:13:00.658+0200 I NETWORK  [conn45] end connection 127.0.0.1:49847 (2 connections now open)
2016-05-01T21:13:00.658+0200 I NETWORK  [conn46] end connection 127.0.0.1:49848 (2 connections now open)
2016-05-01T21:21:44.804+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T21:36:49.892+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T21:51:54.343+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T22:06:59.650+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T22:22:03.982+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T22:37:08.984+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T22:51:27.384+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:57390 #47 (2 connections now open)
2016-05-01T22:51:27.424+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:57391 #48 (3 connections now open)
2016-05-01T22:51:27.591+0200 I NETWORK  [conn47] end connection 127.0.0.1:57390 (2 connections now open)
2016-05-01T22:51:27.591+0200 I NETWORK  [conn48] end connection 127.0.0.1:57391 (2 connections now open)
2016-05-01T22:52:13.436+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T23:11:05.376+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T23:21:51.615+0200 I NETWORK  [conn44] end connection 127.0.0.1:49298 (0 connections now open)
2016-05-01T23:22:28.491+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:57724 #49 (1 connection now open)
2016-05-01T23:22:28.499+0200 I NETWORK  [conn49] end connection 127.0.0.1:57724 (0 connections now open)
2016-05-01T23:22:28.505+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:57725 #50 (1 connection now open)
2016-05-01T23:23:45.655+0200 I NETWORK  [conn50] end connection 127.0.0.1:57725 (0 connections now open)
2016-05-01T23:26:10.026+0200 W NETWORK  [HostnameCanonicalizationWorker] Failed to obtain name info for: [ (192.168.0.162, "nodename nor servname provided, or not known"), (192.168.0.162, "nodename nor servname provided, or not known") ]
2016-05-01T23:26:28.913+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:57789 #51 (1 connection now open)
2016-05-01T23:26:28.921+0200 I NETWORK  [conn51] end connection 127.0.0.1:57789 (0 connections now open)
2016-05-01T23:26:28.926+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:57790 #52 (1 connection now open)
2016-05-01T23:29:16.588+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:57976 #53 (2 connections now open)
2016-05-01T23:29:16.590+0200 I NETWORK  [conn53] end connection 127.0.0.1:57976 (1 connection now open)
2016-05-01T23:29:16.596+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:57977 #54 (2 connections now open)
2016-05-01T23:38:52.941+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:58201 #55 (3 connections now open)
